Local time,Open,High,Low,Close,Volume
14.05.2018 19:00:00.000 GMT+0200,1319.208,1319.299,1312.911,1313.121,4285214.9606
14.05.2018 23:00:00.000 GMT+0200,1312.618,1314.819,1312.609,1314.298,1940400.0343
15.05.2018 03:00:00.000 GMT+0200,1314.299,1314.689,1311.158,1311.278,2439000.0403
15.05.2018 07:00:00.000 GMT+0200,1311.269,1312.452,1309.451,1309.748,4374170.0053
15.05.2018 11:00:00.000 GMT+0200,1309.749,1310.768,1296.779,1297.528,6728619.9928
15.05.2018 15:00:00.000 GMT+0200,1297.528,1298.298,1290.858,1291.419,9231864.2139
15.05.2018 19:00:00.000 GMT+0200,1291.419,1292.888,1288.662,1290.261,6576389.9087
15.05.2018 23:00:00.000 GMT+0200,1289.768,1293.598,1289.568,1292.618,2072779.9833
16.05.2018 03:00:00.000 GMT+0200,1292.608,1294.609,1291.278,1294.141,2690779.984
16.05.2018 07:00:00.000 GMT+0200,1294.161,1296.829,1292.439,1293.119,4947140.0976
16.05.2018 11:00:00.000 GMT+0200,1293.119,1293.539,1286.349,1287.498,5890650.0339
16.05.2018 15:00:00.000 GMT+0200,1287.488,1291.759,1287.388,1291.628,8758029.818599999
16.05.2018 19:00:00.000 GMT+0200,1291.621,1293.628,1290.139,1290.572,5085179.9846
16.05.2018 23:00:00.000 GMT+0200,1290.209,1291.978,1290.069,1290.559,1524070.0543
17.05.2018 03:00:00.000 GMT+0200,1290.549,1294.348,1289.578,1291.649,2621610.0454
17.05.2018 07:00:00.000 GMT+0200,1291.649,1293.161,1287.248,1288.219,5627669.9901
17.05.2018 11:00:00.000 GMT+0200,1288.209,1290.162,1285.081,1289.722,5722689.986300001
17.05.2018 15:00:00.000 GMT+0200,1289.722,1291.739,1287.648,1291.339,8651700.0197
17.05.2018 19:00:00.000 GMT+0200,1291.338,1291.748,1289.778,1290.721,3575190.0971
17.05.2018 23:00:00.000 GMT+0200,1290.658,1290.802,1288.819,1289.869,1451960.057
18.05.2018 03:00:00.000 GMT+0200,1289.848,1289.878,1287.759,1288.488,1892490.0293
18.05.2018 07:00:00.000 GMT+0200,1288.488,1291.101,1288.218,1288.708,3449819.9224
18.05.2018 11:00:00.000 GMT+0200,1288.708,1288.828,1286.038,1287.331,4711390.0183999995
18.05.2018 15:00:00.000 GMT+0200,1287.348,1292.868,1286.039,1292.529,9545529.9615
18.05.2018 19:00:00.000 GMT+0200,1292.529,1294.151,1291.348,1292.868,3565590.024
20.05.2018 23:00:00.000 GMT+0200,1290.421,1291.962,1288.661,1289.769,2146259.9635
21.05.2018 03:00:00.000 GMT+0200,1289.758,1290.709,1287.688,1288.061,2916180.0144999996
21.05.2018 07:00:00.000 GMT+0200,1288.068,1288.242,1282.029,1284.328,5219049.9901
21.05.2018 11:00:00.000 GMT+0200,1284.341,1287.981,1283.799,1287.028,4882190.0487
21.05.2018 15:00:00.000 GMT+0200,1287.059,1290.389,1286.889,1289.778,6632130.0268
21.05.2018 19:00:00.000 GMT+0200,1289.778,1293.081,1289.488,1292.522,3051420.0330000003
21.05.2018 23:00:00.000 GMT+0200,1292.798,1293.389,1291.941,1292.338,1763714.9989999998
22.05.2018 03:00:00.000 GMT+0200,1292.438,1292.492,1289.091,1289.439,2982320.0107000005
22.05.2018 07:00:00.000 GMT+0200,1289.458,1295.748,1287.898,1293.691,6224129.9748
22.05.2018 11:00:00.000 GMT+0200,1293.721,1296.121,1292.778,1293.989,5728690.0878
22.05.2018 15:00:00.000 GMT+0200,1293.989,1295.118,1290.982,1294.158,6851289.8683
22.05.2018 19:00:00.000 GMT+0200,1294.141,1294.141,1290.908,1291.021,1937634.0061
22.05.2018 23:00:00.000 GMT+0200,1290.908,1295.508,1290.879,1292.998,1651865.0353
23.05.2018 03:00:00.000 GMT+0200,1292.998,1294.638,1291.968,1292.341,3687040.0310000004
23.05.2018 07:00:00.000 GMT+0200,1292.331,1293.832,1289.188,1292.602,5770209.9681
23.05.2018 11:00:00.000 GMT+0200,1292.602,1298.442,1291.798,1292.119,6949161.8871
23.05.2018 15:00:00.000 GMT+0200,1292.092,1294.311,1287.879,1290.448,9411434.8889
23.05.2018 19:00:00.000 GMT+0200,1290.448,1295.002,1288.918,1293.101,7153550.088400001
23.05.2018 23:00:00.000 GMT+0200,1294.089,1295.861,1292.848,1295.048,2350875.0498
24.05.2018 03:00:00.000 GMT+0200,1295.048,1295.649,1293.708,1295.128,4131099.9392999997
24.05.2018 07:00:00.000 GMT+0200,1295.141,1297.442,1292.718,1296.931,5872265.1005
24.05.2018 11:00:00.000 GMT+0200,1296.928,1299.979,1295.488,1298.582,5410259.8429000005
24.05.2018 15:00:00.000 GMT+0200,1298.638,1306.581,1297.908,1304.672,11893885.0164
24.05.2018 19:00:00.000 GMT+0200,1304.671,1306.082,1304.141,1304.672,5519959.986299999
24.05.2018 23:00:00.000 GMT+0200,1304.318,1305.489,1302.338,1302.348,2695657.9984
25.05.2018 03:00:00.000 GMT+0200,1302.348,1303.009,1301.578,1302.339,3310149.9080999997
25.05.2018 07:00:00.000 GMT+0200,1302.339,1305.532,1301.738,1305.021,6303240.060799999
25.05.2018 11:00:00.000 GMT+0200,1305.021,1307.571,1303.168,1307.428,7753090.024
